"STATE","OfferNonEnglish","SpecificGroupAdolescent","SpecificGroupWomen","SpecificGroupPregnant","SpecificGroupMen","SpecificGroupSeniors","SpecificGroupLGBT","SpecificGroupVeterans","SpecificGroupMentalIllness","SpecificGroupTrauma","SlidingFeeScale","OffersFreeTreatment","AcceptsMedicare","AcceptsMedicaid","AcceptsStateInsurance","AcceptsMilitaryInsurance","AcceptsPrivateInsurance","LicensedByAuthority","PrivateForProfit","PrivateNonProfit","StateGovt","DUIProgram","OfferSignLanguage","AnyPublicFunding"
"MN",0.227027027027027,0.233062330623306,0.395663956639566,0.16260162601626,0.398373983739837,0.146341463414634,0.149051490514905,0.102981029810298,0.48780487804878,0.287262872628726,0.268292682926829,0.265582655826558,0.294117647058824,0.509859154929577,0.918032786885246,0.375,0.934782608695652,0.92896174863388,0.445945945945946,0.435135135135135,0.0189189189189189,0.213513513513514,0.175675675675676,0.428571428571429
"MO",0.527972027972028,0.157342657342657,0.353146853146853,0.132867132867133,0.307692307692308,0.101398601398601,0.0874125874125874,0.115384615384615,0.381118881118881,0.258741258741259,0.744755244755245,0.611888111888112,0.274021352313167,0.646853146853147,0.418518518518519,0.466911764705882,0.710247349823322,0.95,0.234265734265734,0.716783216783217,0.020979020979021,0.34965034965035,0.58041958041958,0.775800711743772
"MP",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"MS",0.326315789473684,0.265957446808511,0.425531914893617,0.138297872340426,0.382978723404255,0.202127659574468,0.138297872340426,0.202127659574468,0.478723404255319,0.382978723404255,0.684210526315789,0.526315789473684,0.473118279569892,0.630434782608696,0.438202247191011,0.533333333333333,0.720430107526882,0.924731182795699,0.178947368421053,0.547368421052632,0.0842105263157895,0.336842105263158,0.368421052631579,0.681318681318681
"MT",0.3125,0.359375,0.453125,0.21875,0.453125,0.21875,0.1875,0.296875,0.375,0.390625,0.65625,0.59375,0.396551724137931,0.75,0.688524590163934,0.6,0.838709677419355,0.833333333333333,0.125,0.59375,0.046875,0.515625,0.328125,0.825396825396825
"NC",0.378323108384458,0.269938650306748,0.468302658486708,0.255623721881391,0.425357873210634,0.210633946830266,0.214723926380368,0.226993865030675,0.476482617586912,0.386503067484663,0.455486542443064,0.459627329192547,0.431578947368421,0.672268907563025,0.532467532467532,0.409871244635193,0.611344537815126,0.845132743362832,0.531697341513292,0.396728016359918,0.0306748466257669,0.295081967213115,0.247443762781186,0.406113537117904
"ND",0.183333333333333,0.333333333333333,0.316666666666667,0.116666666666667,0.3,0.116666666666667,0.0833333333333333,0.0833333333333333,0.35,0.233333333333333,0.3,0.35,0.333333333333333,0.389830508474576,0.474576271186441,0.333333333333333,0.633333333333333,0.966101694915254,0.5,0.233333333333333,0.183333333333333,0.45,0.166666666666667,0.355932203389831
"NE",0.492647058823529,0.242647058823529,0.338235294117647,0.154411764705882,0.316176470588235,0.147058823529412,0.0882352941176471,0.102941176470588,0.360294117647059,0.338235294117647,0.617647058823529,0.466666666666667,0.419117647058824,0.794117647058823,0.586776859504132,0.601626016260163,0.762962962962963,0.823076923076923,0.191176470588235,0.632352941176471,0.0147058823529412,0.0882352941176471,0.272058823529412,0.712121212121212
"NH",0.3125,0.140625,0.46875,0.25,0.46875,0.09375,0.0625,0.125,0.359375,0.203125,0.46875,0.359375,0.484375,0.734375,0.4,0.55,0.793650793650794,0.91304347826087,0.484375,0.5,0,0.21875,0.1875,0.453125
"NJ",0.423180592991914,0.316216216216216,0.591891891891892,0.281081081081081,0.524324324324324,0.291891891891892,0.254054054054054,0.213513513513514,0.559459459459459,0.402702702702703,0.733695652173913,0.513586956521739,0.287292817679558,0.606060606060606,0.394029850746269,0.29940119760479,0.64819944598338,0.870879120879121,0.415094339622642,0.53099730458221,0.0188679245283019,0.375675675675676,0.159029649595687,0.523545706371191
"NM",0.727272727272727,0.298701298701299,0.493506493506494,0.25974025974026,0.467532467532468,0.253246753246753,0.279220779220779,0.246753246753247,0.5,0.435064935064935,0.496732026143791,0.581699346405229,0.433333333333333,0.814569536423841,0.616438356164384,0.503496503496504,0.748344370860927,0.604166666666667,0.318181818181818,0.448051948051948,0.0454545454545455,0.266233766233766,0.207792207792208,0.616438356164384
"NV",0.475,0.2,0.4875,0.2875,0.4375,0.2875,0.275,0.275,0.6,0.375,0.5625,0.525,0.215189873417722,0.7625,0.48,0.342465753424658,0.743589743589744,0.897435897435897,0.3125,0.525,0.025,0.1875,0.15,0.525
"NY",0.528199566160521,0.258134490238612,0.625813449023861,0.150759219088937,0.620390455531453,0.209327548806941,0.176789587852495,0.165943600867679,0.575921908893709,0.372017353579176,0.799126637554585,0.457423580786026,0.472747497219132,0.861842105263158,0.639187574671446,0.329856584093872,0.79,0.982436882546652,0.158351409978308,0.702819956616052,0.052060737527115,0.234527687296417,0.183297180043384,0.56301531213192
"OH",0.568965517241379,0.31358024691358,0.434567901234568,0.185185185185185,0.377777777777778,0.0987654320987654,0.091358024691358,0.130864197530864,0.449382716049383,0.333333333333333,0.729323308270677,0.654135338345865,0.48586118251928,0.888324873096447,0.467966573816156,0.472527472527473,0.780612244897959,0.93573264781491,0.120689655172414,0.800492610837438,0.0123152709359606,0.123152709359606,0.6,0.734536082474227
