# Visitor arrivals by country of residence all travel mode (Monthly) -- Source Statistics New Zealand --  See metadata at bottom of table,,,,,,,,,,,
# Added GBPound to NZ Dollar Exchange Rate in Col. 10 plus Year &  Month,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,GBP.to.NZD,Year,Month
2004M05,50598,5724,11664,6696,1476,11520,1872,11376,2.900780161,2004,5
2004M06,55776,4752,7952,6384,1184,11216,1488,15248,2.914870433,2004,6
2004M07,71500,6400,11100,10220,2200,14540,2040,16140,2.850214161,2004,7
2004M08,64548,5742,14300,7150,2222,12958,1716,12826,2.783641806,2004,8
2004M09,78120,6400,11140,6860,2520,11680,1720,10820,2.726108067,2004,9
2004M10,64785,6867,12201,9156,5313,19068,2919,17577,2.64957571,2004,10
2004M11,61845,9471,20097,12075,7812,27510,4515,23016,2.6567373,2004,11
2004M12,118350,10425,15550,10500,7300,44425,5375,24550,2.701166387,2004,12
2005M01,74269,6786,16008,16704,8642,41905,5974,23780,2.666025387,2005,1
2005M02,72490,10098,15444,11154,9394,44308,6292,25916,2.637575536,2005,2
2005M03,85125,4925,15300,8700,6650,34600,5175,23950,2.609137161,2005,3
2005M04,70056,6864,12288,7608,2448,17448,2712,14496,2.6338451,2005,4
2005M05,53124,5130,10203,6935,1558,11818,1900,12445,2.581485258,2005,5
2005M06,60648,4826,9538,6840,1330,25023,1425,15162,2.5685613,2005,6
2005M07,66960,6552,10728,9696,2592,17520,2280,14592,2.576790258,2005,7
2005M08,64260,6699,12558,7875,2163,13293,1848,11760,2.578565742,2005,8
2005M09,83952,6094,9702,6402,2574,11528,1826,10274,2.5875577,2005,9
2005M10,64078,6693,11845,9039,5152,19021,2737,15939,2.531107968,2005,10
2005M11,63526,11408,16836,10327,7521,27301,4738,21643,2.517057667,2005,11
2005M12,116250,11775,14475,10725,7525,43050,5275,24550,2.517562516,2005,12
2006M01,75270,8788,15132,13052,8684,42432,6292,23478,2.566942806,2006,1
2006M02,73832,8470,15114,9746,9548,47124,6908,29898,2.595760964,2006,2
2006M03,78775,7475,14789,9177,6371,31050,5336,25645,2.74183329,2006,3
2006M04,78826,9724,8976,8030,3036,21010,3058,17380,2.8359242,2006,4
2006M05,55267,7990,7854,6307,1547,11050,1785,11101,2.95931971,2006,5
2006M06,59778,5310,7488,7524,1422,9846,1656,16272,2.971937933,2006,6
2006M07,66456,7440,10176,10008,2688,13584,2544,16560,2.994557839,2006,7
2006M08,69594,7665,11004,7056,2394,12138,1953,11361,2.987164677,2006,8
2006M09,82404,8106,7602,8253,2919,11718,1995,10458,2.8850827,2006,9
2006M10,72072,8338,8976,10186,5126,20064,3520,16742,2.839057129,2006,10
2006M11,70070,13618,16654,10582,7766,29348,5214,21670,2.856917,2006,11
2006M12,121160,12792,12636,11440,7852,45448,5694,25064,2.833289419,2006,12
2007M01,74676,9576,12236,14028,8400,45668,6496,22624,2.818152871,2007,1
2007M02,77993,14927,13340,8510,9545,49105,7245,29210,2.8254525,2007,2
